Reference,Verse
"Moses 1:39","For behold, this is my work and my glory—to bring to pass the immortality and eternal life of man."
"Job 19:25-26","25 For I know that my redeemer liveth, and that he shall stand at the latter day upon the earth: 26 And though after my skin worms destroy this body, yet in my flesh shall I see God:"
"Matthew 5:14-16","14 Ye are the light of the world. A city that is set on an hill cannot be hid. 15 Neither do men light a candle, and put it under a bushel, but on a candlestick; and it giveth light unto all that are in the house. 16 Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven."
"1 Nephi 3:7","And it came to pass that I, Nephi, said unto my father: I will go and do the things which the Lord hath commanded, for I know that the Lord giveth no commandments unto the children of men, save he shall prepare a way for them that they may accomplish the thing which he commandeth them."
"D&C 82:10","I, the Lord, am bound when ye do what I say; but when ye do not what I say, ye have no promise."
"John 3:16","For God so loved the world, that he gave his only Son, that whoever believes in him should not perish but have eternal life."
